first-name,last-name,team,jersey,position,Bdate,height,caps,goals,match_red_card
Vedran,CORLUKA ,Croatia,5,Defender,5-Feb-86,192,103,4,0
Rurik,GISLASON ,Iceland,19,Midfielder,25-Feb-88,184,49,3,0
Koen,CASTEELS ,Belgium,13,Goalkeeper,25-Jun-92,197,0,0,null
Uros,SPAJIC ,Serbia,5,Defender,13-Feb-93,188,5,0,null
Steve,MANDANDA ,France,16,Goalkeeper,28-Mar-85,187,28,0,0
AHMED,ELMOHAMADY ,Egypt,3,Defender,9-Sep-87,183,84,2,null
RAMADAN,SOBHY ,Egypt,14,Forward,23-Jan-97,183,28,1,0
GABRIEL,JESUS ,Brazil,9,Forward,3-Apr-97,175,22,10,0
Anderson,SANTAMARIA ,Peru,4,Defender,10-Jan-92,183,8,0,0
Jefferson,LERMA ,Colombia,16,Midfielder,25-Oct-94,179,9,0,0
SHERIF,EKRAMY ,Egypt,16,Goalkeeper,10-Jul-83,193,23,0,null
Rodney,WALLACE ,Costa Rica,13,Midfielder,17-Jun-88,180,29,4,0
Blerim,DZEMAILI ,Switzerland,15,Midfielder,12-Apr-86,180,69,11,0
Ola,TOIVONEN ,Sweden,20,Forward,3-Jul-86,192,64,14,0
KIM,Seunggyu ,Korea Republic,1,Goalkeeper,30-Sep-90,187,33,0,null
David,DE GEA,Spain,1,Goalkeeper,7-Nov-90,190,33,0,0
Jose,GIMENEZ ,Uruguay,2,Defender,20-Jan-95,185,46,6,0
Breel,EMBOLO ,Switzerland,7,Forward,14-Feb-97,184,29,3,0
Hugo,LLORIS ,France,1,Goalkeeper,26-Dec-86,188,104,0,0
Yvon,MVOGO ,Switzerland,12,Goalkeeper,6-Jun-94,186,0,0,null
Jose,CARVALLO ,Peru,21,Goalkeeper,1-Mar-86,182,6,0,null
Hannes,HALLDORSSON ,Iceland,1,Goalkeeper,27-Apr-84,193,52,0,0
Hamdi,NAGUEZ ,Tunisia,21,Defender,28-Oct-92,186,19,5,0
Khadim,NDIAYE ,Senegal,16,Goalkeeper,5-Apr-85,185,45,0,0
Michy,BATSHUAYI ,Belgium,21,Forward,2-Oct-93,185,19,8,0
Fakhreddine,BEN YOUSSEF,Tunisia,8,Forward,23-Jun-91,189,42,6,0
Milan,BADELJ ,Croatia,19,Midfielder,25-Feb-89,186,41,2,0
Mbaye,NIANG ,Senegal,19,Forward,19-Dec-94,184,11,1,0
Luis,TEJADA ,Panama,18,Forward,28-Mar-82,183,106,43,0
Yuto,NAGATOMO ,Japan,5,Defender,12-Sep-86,170,109,3,0
Jesus,GALLARDO ,Mexico,23,Midfielder,15-Aug-94,177,27,0,0
Ivan,STRINIC ,Croatia,3,Defender,17-Jul-87,186,49,0,0
Anton,MIRANCHUK ,Russia,16,Midfielder,17-Oct-95,182,6,0,null
Gylfi,SIGURDSSON ,Iceland,10,Midfielder,8-Sep-89,186,60,20,0
Andre,CARRILLO ,Peru,18,Forward,14-Jun-91,182,49,6,0
Jacek,GORALSKI ,Poland,6,Midfielder,21-Sep-92,172,7,0,0
PEDRO,GEROMEL ,Brazil,4,Defender,21-Sep-85,190,2,0,null
Lucas,VAZQUEZ ,Spain,11,Forward,1-Jul-91,173,9,0,0
Hakim,ZIYACH ,Morocco,7,Midfielder,19-Mar-93,180,21,10,0
Abdiel,ARROYO ,Panama,16,Forward,13-Dec-93,183,35,5,0
Nacho,MONREAL ,Spain,16,Defender,26-Feb-86,179,22,1,null
Mathew,LECKIE ,Australia,7,Forward,4-Feb-91,181,56,8,0
Cristian,PAVON ,Argentina,22,Midfielder,21-Jan-96,169,9,0,0
Juan,CUADRADO ,Colombia,11,Midfielder,26-May-88,179,73,8,0
Branislav,IVANOVIC ,Serbia,6,Defender,22-Feb-84,185,105,13,0
Keylor,NAVAS ,Costa Rica,1,Goalkeeper,15-Dec-86,185,84,0,0
Iury,GAZINSKY ,Russia,8,Midfielder,20-Jul-89,180,10,1,0
Davinson,SANCHEZ ,Colombia,23,Defender,12-Jun-96,187,13,0,0
Victor,LINDELOF ,Sweden,3,Defender,17-Jul-94,187,25,1,0
Monir,EL KAJOUI,Morocco,12,Goalkeeper,10-May-89,190,36,0,0
Artur,JEDRZEJCZYK ,Poland,3,Defender,4-Nov-87,189,37,3,0
Antoine,GRIEZMANN ,France,7,Forward,21-Mar-91,174,61,24,0
Michael,MURILLO ,Panama,2,Defender,11-Feb-96,183,24,2,0
Aymen,MATHLOUTHI ,Tunisia,16,Goalkeeper,14-Sep-84,182,72,0,0
ALISSON, ,Brazil,1,Goalkeeper,2-Oct-92,193,31,0,0
Iago,ASPAS ,Spain,17,Forward,1-Aug-87,176,13,6,0
LEE,Seungwoo ,Korea Republic,10,Midfielder,6-Jan-98,170,6,0,0
TREZIGUET, ,Egypt,21,Midfielder,1-Oct-94,181,29,2,0
Tim,CAHILL ,Australia,4,Forward,6-Dec-79,180,107,50,0
Karol,LINETTY ,Poland,8,Midfielder,2-Feb-95,176,20,1,null
Marco,FABIAN ,Mexico,8,Forward,21-Jul-89,171,40,9,0
BERNARDO,SILVA ,Portugal,11,Midfielder,10-Aug-94,173,29,2,0
Ramin,REZAEIAN ,IR Iran,23,Defender,21-Mar-90,185,29,2,0
Denis,ZAKARIA ,Switzerland,17,Midfielder,20-Nov-96,189,12,0,0
Morteza,POURALIGANJI ,IR Iran,8,Defender,19-Apr-92,187,30,2,0
Martin,BRAITHWAITE ,Denmark,11,Forward,5-Jun-91,180,24,1,0
Carlos,SANCHEZ ,Uruguay,5,Midfielder,2-Dec-84,171,38,1,0
Jackson,IRVINE ,Australia,22,Midfielder,7-Mar-93,180,22,2,0
Christian,RAMOS ,Peru,15,Defender,4-Nov-88,182,73,3,0
Mesut,OEZIL ,Germany,10,Midfielder,15-Oct-88,180,92,23,0
Yann,SOMMER ,Switzerland,1,Goalkeeper,17-Dec-88,183,39,0,0
Toni,KROOS ,Germany,8,Midfielder,4-Jan-90,182,86,13,0
Giovani,DOS SANTOS,Mexico,10,Midfielder,11-May-89,178,106,19,0
KOO,Jacheol ,Korea Republic,13,Midfielder,27-Feb-89,182,70,19,0
Jens,Stryger LARSEN,Denmark,17,Defender,21-Feb-91,182,16,1,0
ADRIEN,SILVA ,Portugal,23,Midfielder,15-Mar-89,176,27,1,0
Remo,FREULER ,Switzerland,8,Midfielder,15-Apr-92,181,10,0,null
Mohammad,Reza KHANZADEH,IR Iran,13,Defender,11-May-91,186,8,1,null
Samuel,UMTITI ,France,5,Defender,14-Nov-93,183,25,3,0
Ivan,RAKITIC ,Croatia,7,Midfielder,10-Mar-88,184,99,15,0
Paolo,GUERRERO ,Peru,9,Forward,1-Jan-84,185,92,36,0
Edson,ALVAREZ ,Mexico,21,Defender,24-Oct-97,186,17,1,0
YASSER,ALSHAHRANI ,Saudi Arabia,13,Defender,25-May-92,170,38,0,0
Ante,REBIC ,Croatia,18,Forward,21-Sep-93,185,22,2,0
Tyronne,EBUEHI ,Nigeria,21,Defender,16-Dec-95,187,8,0,0
Gaston,SILVA ,Uruguay,13,Defender,5-Mar-94,185,17,0,null
Gotoku,SAKAI ,Japan,21,Defender,14-Mar-91,176,42,0,0
Younes,BELHANDA ,Morocco,10,Midfielder,25-Feb-90,174,53,5,0
Tin,JEDVAJ ,Croatia,13,Defender,28-Nov-95,184,13,0,0
William,EKONG ,Nigeria,5,Defender,1-Sep-93,191,24,1,0
NEYMAR, ,Brazil,10,Forward,5-Feb-92,175,90,57,0
Sergej,MILINKOVIC-SAVIC ,Serbia,20,Midfielder,27-Feb-95,192,7,0,0
Wataru,ENDO ,Japan,6,Defender,9-Feb-93,178,12,0,null
Oribe,PERALTA ,Mexico,19,Forward,12-Jan-84,178,67,26,0
Matthias,GINTER ,Germany,4,Defender,19-Jan-94,189,18,0,null
Corentin,TOLISSO ,France,12,Midfielder,3-Aug-94,180,14,0,0
MIRANDA, ,Brazil,3,Defender,7-Sep-84,186,52,2,0
PHILIPPE,COUTINHO ,Brazil,11,Midfielder,12-Jun-92,172,41,12,0
Diego,LAXALT ,Uruguay,17,Midfielder,7-Feb-93,178,10,0,0
Johann,GUDMUNDSSON ,Iceland,7,Midfielder,27-Oct-90,179,69,7,0
Santiago,ARIAS ,Colombia,4,Defender,13-Jan-92,177,45,0,0
Wilmar,BARRIOS ,Colombia,5,Midfielder,16-Oct-93,178,13,0,0
Filip,HELANDER ,Sweden,14,Defender,22-Apr-93,192,4,0,null
Gen,SHOJI ,Japan,3,Defender,11-Dec-92,182,15,1,0
Marco,ASENSIO ,Spain,20,Midfielder,21-Jan-96,182,15,0,0
KIM,Jinhyeon ,Korea Republic,21,Goalkeeper,6-Jul-87,193,15,0,null
Andres,INIESTA ,Spain,6,Midfielder,11-May-84,171,131,13,0
Omid,EBRAHIMI ,IR Iran,9,Midfielder,16-Sep-87,178,32,0,0
Gelson,FERNANDES ,Switzerland,16,Midfielder,2-Sep-86,180,67,2,null
Ahmed,KHALIL ,Tunisia,15,Forward,21-Dec-94,187,3,0,0
THIAGO,SILVA ,Brazil,2,Defender,22-Sep-84,183,76,6,0
Lukasz,TEODORCZYK ,Poland,14,Forward,3-Jun-91,185,19,4,0
Kenner,GUTIERREZ ,Costa Rica,22,Defender,9-Jun-89,178,9,0,null
Dominik,LIVAKOVIC ,Croatia,1,Goalkeeper,9-Jan-95,188,1,0,null
Saeid,EZATOLAHI ,IR Iran,6,Midfielder,1-Oct-96,190,27,2,0
Cheikhou,KOUYATE ,Senegal,8,Midfielder,21-Dec-89,189,51,3,0
Toby,ALDERWEIRELD ,Belgium,2,Defender,2-Mar-89,186,83,3,0
Aron,GUNNARSSON ,Iceland,17,Midfielder,22-Apr-89,181,80,2,0
Pedro,AQUINO ,Peru,23,Midfielder,13-Apr-95,174,16,0,0
Mateus,URIBE ,Colombia,15,Midfielder,21-Mar-91,182,11,0,0
Rafael,MARQUEZ ,Mexico,4,Defender,13-Feb-79,184,148,15,0
Thomas,DELANEY ,Denmark,8,Midfielder,3-Sep-91,180,31,4,0
Guillermo,VARELA ,Uruguay,4,Defender,24-Mar-93,173,5,0,0
ROBERTO,FIRMINO ,Brazil,20,Forward,2-Oct-91,181,25,7,0
DOUGLAS,COSTA ,Brazil,7,Forward,14-Sep-90,182,27,3,0
Johan,VENEGAS ,Costa Rica,11,Forward,27-Nov-88,183,49,10,0
Javier,AQUINO ,Mexico,20,Midfielder,11-Feb-90,166,53,0,null
Oscar,DUARTE ,Costa Rica,6,Defender,3-Jun-89,186,38,2,0
Franco,ARMANI ,Argentina,12,Goalkeeper,16-Oct-86,189,2,0,0
Fabian,SCHAER ,Switzerland,22,Defender,20-Dec-91,186,42,7,0
Lucas,HERNANDEZ ,France,21,Defender,14-Feb-96,183,12,0,0
Jesse,LINGARD ,England,7,Midfielder,15-Dec-92,175,18,2,0
Salif,SANE ,Senegal,6,Midfielder,25-Aug-90,196,21,0,0
