player-name,team,jersey,position,Bdate,height,caps,goals,match_red_card,,
Naomichi UEDA,Japan,2,Defender,10/24/1994,186.0 cm,4,0,NULL,,"insert into player values ('Naomichi UEDA','Japan',2,'Defender',to_date('10/24/1994','mm/dd/yyyy'),'186.0 cm',4,0,NULL);"
HONG Chul,Korea Republic,14,Defender,9/17/1990,176.0 cm,16,0,0,,"insert into player values ('HONG Chul','Korea Republic',14,'Defender',to_date('9/17/1990','mm/dd/yyyy'),'176.0 cm',16,0,0);"
GELSON MARTINS,Portugal,18,Forward,5/11/1995,173.0 cm,19,0,0,,"insert into player values ('GELSON MARTINS','Portugal',18,'Forward',to_date('5/11/1995','mm/dd/yyyy'),'173.0 cm',19,0,0);"
Anice BADRI,Tunisia,9,Midfielder,9/18/1990,178.0 cm,13,3,0,,"insert into player values ('Anice BADRI','Tunisia',9,'Midfielder',to_date('9/18/1990','mm/dd/yyyy'),'178.0 cm',13,3,0);"
Sergio RAMOS,Spain,15,Defender,3/30/1986,183.0 cm,156,13,0,,"insert into player values ('Sergio RAMOS','Spain',15,'Defender',to_date('3/30/1986','mm/dd/yyyy'),'183.0 cm',156,13,0);"
Farouk BEN MUSTAPHA,Tunisia,1,Goalkeeper,7/1/1989,192.0 cm,16,0,0,,"insert into player values ('Farouk BEN MUSTAPHA','Tunisia',1,'Goalkeeper',to_date('7/1/1989','mm/dd/yyyy'),'192.0 cm',16,0,0);"
Dusko TOSIC,Serbia,3,Defender,1/19/1985,185.0 cm,26,1,0,,"insert into player values ('Dusko TOSIC','Serbia',3,'Defender',to_date('1/19/1985','mm/dd/yyyy'),'185.0 cm',26,1,0);"
Marcelo BROZOVIC,Croatia,11,Midfielder,11/16/1992,181.0 cm,41,6,0,,"insert into player values ('Marcelo BROZOVIC','Croatia',11,'Midfielder',to_date('11/16/1992','mm/dd/yyyy'),'181.0 cm',41,6,0);"
Hector MORENO,Mexico,15,Defender,1/17/1988,182.0 cm,95,3,0,,"insert into player values ('Hector MORENO','Mexico',15,'Defender',to_date('1/17/1988','mm/dd/yyyy'),'182.0 cm',95,3,0);"
Nabil FEKIR,France,18,Forward,7/18/1993,173.0 cm,18,2,0,,"insert into player values ('Nabil FEKIR','France',18,'Forward',to_date('7/18/1993','mm/dd/yyyy'),'173.0 cm',18,2,0);"
MANUEL FERNANDES,Portugal,4,Midfielder,2/5/1986,174.0 cm,15,3,0,,"insert into player values ('MANUEL FERNANDES','Portugal',4,'Midfielder',to_date('2/5/1986','mm/dd/yyyy'),'174.0 cm',15,3,0);"
Ahmed MUSA,Nigeria,7,Forward,10/14/1992,173.0 cm,73,15,0,,"insert into player values ('Ahmed MUSA','Nigeria',7,'Forward',to_date('10/14/1992','mm/dd/yyyy'),'173.0 cm',73,15,0);"
Ryota OHSHIMA,Japan,18,Midfielder,1/23/1993,168.0 cm,5,0,NULL,,"insert into player values ('Ryota OHSHIMA','Japan',18,'Midfielder',to_date('1/23/1993','mm/dd/yyyy'),'168.0 cm',5,0,NULL);"
Mats HUMMELS,Germany,5,Defender,12/16/1988,192.0 cm,66,5,0,,"insert into player values ('Mats HUMMELS','Germany',5,'Defender',to_date('12/16/1988','mm/dd/yyyy'),'192.0 cm',66,5,0);"
Ghanem SAISS,Morocco,6,Defender,3/26/1990,190.0 cm,28,2,0,,"insert into player values ('Ghanem SAISS','Morocco',6,'Defender',to_date('3/26/1990','mm/dd/yyyy'),'190.0 cm',28,2,0);"
Pejman MONTAZERI,IR Iran,15,Defender,9/6/1983,185.0 cm,46,1,NULL,,"insert into player values ('Pejman MONTAZERI','IR Iran',15,'Defender',to_date('9/6/1983','mm/dd/yyyy'),'185.0 cm',46,1,NULL);"
RENATO AUGUSTO,Brazil,8,Midfielder,2/8/1988,186.0 cm,31,6,0,,"insert into player values ('RENATO AUGUSTO','Brazil',8,'Midfielder',to_date('2/8/1988','mm/dd/yyyy'),'186.0 cm',31,6,0);"
Carlos SALCEDO,Mexico,3,Defender,9/29/1993,189.0 cm,25,0,0,,"insert into player values ('Carlos SALCEDO','Mexico',3,'Defender',to_date('9/29/1993','mm/dd/yyyy'),'189.0 cm',25,0,0);"
Stephan LICHTSTEINER,Switzerland,2,Defender,1/16/1984,181.0 cm,103,8,0,,"insert into player values ('Stephan LICHTSTEINER','Switzerland',2,'Defender',to_date('1/16/1984','mm/dd/yyyy'),'181.0 cm',103,8,0);"
Juan QUINTERO,Colombia,20,Midfielder,1/18/1993,169.0 cm,19,3,0,,"insert into player values ('Juan QUINTERO','Colombia',20,'Midfielder',to_date('1/18/1993','mm/dd/yyyy'),'169.0 cm',19,3,0);"
Dele ALLI,England,20,Midfielder,4/11/1996,188.0 cm,30,3,0,,"insert into player values ('Dele ALLI','England',20,'Midfielder',to_date('4/11/1996','mm/dd/yyyy'),'188.0 cm',30,3,0);"
Isaac Kiese THELIN,Sweden,22,Forward,6/24/1992,189.0 cm,24,2,0,,"insert into player values ('Isaac Kiese THELIN','Sweden',22,'Forward',to_date('6/24/1992','mm/dd/yyyy'),'189.0 cm',24,2,0);"
Syam BEN YOUSSEF,Tunisia,2,Defender,3/31/1989,189.0 cm,44,1,0,,"insert into player values ('Syam BEN YOUSSEF','Tunisia',2,'Defender',to_date('3/31/1989','mm/dd/yyyy'),'189.0 cm',44,1,0);"
Blas PEREZ,Panama,7,Forward,3/13/1981,187.0 cm,119,43,0,,"insert into player values ('Blas PEREZ','Panama',7,'Forward',to_date('3/13/1981','mm/dd/yyyy'),'187.0 cm',119,43,0);"
WILLIAM,Portugal,14,Midfielder,4/7/1992,190.0 cm,47,2,0,,"insert into player values ('WILLIAM','Portugal',14,'Midfielder',to_date('4/7/1992','mm/dd/yyyy'),'190.0 cm',47,2,0);"
FAGNER,Brazil,22,Defender,6/11/1989,168.0 cm,8,0,0,,"insert into player values ('FAGNER','Brazil',22,'Defender',to_date('6/11/1989','mm/dd/yyyy'),'168.0 cm',8,0,0);"
Angel DI MARIA,Argentina,11,Midfielder,2/14/1988,178.0 cm,97,20,0,,"insert into player values ('Angel DI MARIA','Argentina',11,'Midfielder',to_date('2/14/1988','mm/dd/yyyy'),'178.0 cm',97,20,0);"
Manuel NEUER,Germany,1,Goalkeeper,3/27/1986,193.0 cm,79,0,0,,"insert into player values ('Manuel NEUER','Germany',1,'Goalkeeper',to_date('3/27/1986','mm/dd/yyyy'),'193.0 cm',79,0,0);"
Frederik RONNOW,Denmark,22,Goalkeeper,8/4/1992,190.0 cm,6,0,NULL,,"insert into player values ('Frederik RONNOW','Denmark',22,'Goalkeeper',to_date('8/4/1992','mm/dd/yyyy'),'190.0 cm',6,0,NULL);"
MARIO RUI,Portugal,19,Defender,5/27/1991,168.0 cm,4,0,NULL,,"insert into player values ('MARIO RUI','Portugal',19,'Defender',to_date('5/27/1991','mm/dd/yyyy'),'168.0 cm',4,0,NULL);"
Ali MAALOUL,Tunisia,12,Defender,1/1/1990,170.0 cm,49,8,0,,"insert into player values ('Ali MAALOUL','Tunisia',12,'Defender',to_date('1/1/1990','mm/dd/yyyy'),'170.0 cm',49,8,0);"
Nick POPE,England,23,Goalkeeper,4/19/1992,191.0 cm,1,0,NULL,,"insert into player values ('Nick POPE','England',23,'Goalkeeper',to_date('4/19/1992','mm/dd/yyyy'),'191.0 cm',1,0,NULL);"
Wilfredo CABALLERO,Argentina,23,Goalkeeper,9/28/1981,186.0 cm,5,0,0,,"insert into player values ('Wilfredo CABALLERO','Argentina',23,'Goalkeeper',to_date('9/28/1981','mm/dd/yyyy'),'186.0 cm',5,0,0);"
Alphonse AREOLA,France,23,Goalkeeper,2/27/1993,195.0 cm,0,0,NULL,,"insert into player values ('Alphonse AREOLA','France',23,'Goalkeeper',to_date('2/27/1993','mm/dd/yyyy'),'195.0 cm',0,0,NULL);"
Milan RODIC,Serbia,14,Defender,4/2/1991,185.0 cm,1,0,NULL,,"insert into player values ('Milan RODIC','Serbia',14,'Defender',to_date('4/2/1991','mm/dd/yyyy'),'185.0 cm',1,0,NULL);"
SAM MORSY,Egypt,5,Midfielder,9/10/1991,173.0 cm,6,0,0,,"insert into player values ('SAM MORSY','Egypt',5,'Midfielder',to_date('9/10/1991','mm/dd/yyyy'),'173.0 cm',6,0,0);"
Saifeddine KHAOUI,Tunisia,7,Forward,4/27/1995,180.0 cm,6,0,0,,"insert into player values ('Saifeddine KHAOUI','Tunisia',7,'Forward',to_date('4/27/1995','mm/dd/yyyy'),'180.0 cm',6,0,0);"
